prisoner number,BOX number,BOX slip number,Result
53,24,57,NA
53,57,21,NA
53,21,55,NA
53,55,85,NA
53,85,75,NA
53,75,88,NA
53,88,22,NA
53,22,30,NA
53,30,96,NA
53,96,86,NA
53,86,34,NA
53,34,36,NA
53,36,84,NA
53,84,52,NA
53,52,73,NA
53,73,3,NA
53,3,89,NA
53,89,47,NA
53,47,28,NA
53,28,93,NA
53,93,87,NA
53,87,70,NA
53,70,81,NA
53,81,53,OUT
96,NA,NA,IN
96,54,58,NA
96,58,11,NA
96,11,7,NA
96,7,1,NA
96,1,27,NA
96,27,94,NA
96,94,38,NA
96,38,78,NA
96,78,4,NA
96,4,98,NA
96,98,65,NA
96,65,72,NA
96,72,2,NA
96,2,82,NA
96,82,99,NA
96,99,15,NA
96,15,49,NA
96,49,29,NA
96,29,79,NA
96,79,35,NA
96,35,77,NA
96,77,80,NA
96,80,12,NA
96,12,91,NA
96,91,13,NA
96,13,19,NA
96,19,46,NA
96,46,32,NA
96,32,20,NA
96,20,43,NA
96,43,54,NA
96,NA,NA,LoopEnd
31,NA,NA,IN
31,47,28,NA
31,28,93,NA
31,93,87,NA
31,87,70,NA
31,70,81,NA
31,81,53,NA
31,53,92,NA
31,92,59,NA
31,59,5,NA
31,5,68,NA
31,68,42,NA
31,42,69,NA
31,69,44,NA
31,44,37,NA
31,37,39,NA
31,39,16,NA
31,16,8,NA
31,8,0,NA
31,0,14,NA
31,14,76,NA
31,76,71,NA
31,71,95,NA
31,95,62,NA
31,62,51,NA
31,51,23,NA
31,23,24,NA
31,24,57,NA
31,57,21,NA
31,21,55,NA
31,55,85,NA
31,85,75,NA
31,75,88,NA
31,88,22,NA
31,22,30,NA
31,30,96,NA
31,96,86,NA
31,86,34,NA
31,34,36,NA
31,36,84,NA
31,84,52,NA
31,52,73,NA
31,73,3,NA
31,3,89,NA
31,89,47,NA
31,NA,NA,LoopEnd
98,NA,NA,IN
98,76,71,NA
98,71,95,NA
98,95,62,NA
98,62,51,NA
98,51,23,NA
98,23,24,NA
98,24,57,NA
98,57,21,NA
98,21,55,NA
98,55,85,NA
98,85,75,NA
98,75,88,NA
98,88,22,NA
98,22,30,NA
98,30,96,NA
98,96,86,NA
98,86,34,NA
98,34,36,NA
98,36,84,NA
98,84,52,NA
98,52,73,NA
98,73,3,NA
98,3,89,NA
98,89,47,NA
98,47,28,NA
98,28,93,NA
98,93,87,NA
98,87,70,NA
98,70,81,NA
98,81,53,NA
98,53,92,NA
98,92,59,NA
98,59,5,NA
98,5,68,NA
98,68,42,NA
98,42,69,NA
98,69,44,NA
98,44,37,NA
98,37,39,NA
98,39,16,NA
98,16,8,NA
98,8,0,NA
98,0,14,NA
98,14,76,NA
98,NA,NA,LoopEnd
19,NA,NA,IN
19,76,71,NA
19,71,95,NA
19,95,62,NA
19,62,51,NA
19,51,23,NA
19,23,24,NA
19,24,57,NA
19,57,21,NA
19,21,55,NA
19,55,85,NA
19,85,75,NA
19,75,88,NA
19,88,22,NA
19,22,30,NA
19,30,96,NA
19,96,86,NA
19,86,34,NA
19,34,36,NA
19,36,84,NA
19,84,52,NA
19,52,73,NA
19,73,3,NA
19,3,89,NA
19,89,47,NA
19,47,28,NA
19,28,93,NA
19,93,87,NA
19,87,70,NA
19,70,81,NA
19,81,53,NA
19,53,92,NA
19,92,59,NA
19,59,5,NA
19,5,68,NA
19,68,42,NA
19,42,69,NA
19,69,44,NA
19,44,37,NA
19,37,39,NA
19,39,16,NA
19,16,8,NA
19,8,0,NA
19,0,14,NA
19,14,76,NA
19,NA,NA,LoopEnd
89,NA,NA,IN
89,19,46,NA
89,46,32,NA
89,32,20,NA
89,20,43,NA
89,43,54,NA
89,54,58,NA
89,58,11,NA
89,11,7,NA
89,7,1,NA
89,1,27,NA
89,27,94,NA
89,94,38,NA
89,38,78,NA
89,78,4,NA
89,4,98,NA
89,98,65,NA
89,65,72,NA
89,72,2,NA
89,2,82,NA
89,82,99,NA
89,99,15,NA
89,15,49,NA
89,49,29,NA
89,29,79,NA
89,79,35,NA
89,35,77,NA
89,77,80,NA
89,80,12,NA
89,12,91,NA
89,91,13,NA
89,13,19,NA
89,NA,NA,LoopEnd
16,NA,NA,IN
16,58,11,NA
16,11,7,NA
16,7,1,NA
16,1,27,NA
16,27,94,NA
16,94,38,NA
16,38,78,NA
16,78,4,NA
16,4,98,NA
16,98,65,NA
16,65,72,NA
16,72,2,NA
16,2,82,NA
16,82,99,NA
16,99,15,NA
16,15,49,NA
16,49,29,NA
16,29,79,NA
16,79,35,NA
16,35,77,NA
16,77,80,NA
16,80,12,NA
16,12,91,NA
16,91,13,NA
16,13,19,NA
16,19,46,NA
16,46,32,NA
16,32,20,NA
16,20,43,NA
16,43,54,NA
16,54,58,NA
16,NA,NA,LoopEnd
35,NA,NA,IN
35,33,67,NA
35,67,97,NA
35,97,6,NA
35,6,74,NA
35,74,25,NA
35,25,60,NA
35,60,9,NA
35,9,45,NA
35,45,41,NA
35,41,33,NA
35,NA,NA,LoopEnd
91,NA,NA,IN
91,30,96,NA
91,96,86,NA
91,86,34,NA
91,34,36,NA
91,36,84,NA
91,84,52,NA
91,52,73,NA
91,73,3,NA
91,3,89,NA
91,89,47,NA
91,47,28,NA
91,28,93,NA
91,93,87,NA
91,87,70,NA
91,70,81,NA
91,81,53,NA
91,53,92,NA
91,92,59,NA
91,59,5,NA
91,5,68,NA
91,68,42,NA
91,42,69,NA
91,69,44,NA
91,44,37,NA
91,37,39,NA
91,39,16,NA
91,16,8,NA
91,8,0,NA
91,0,14,NA
91,14,76,NA
91,76,71,NA
91,71,95,NA
91,95,62,NA
91,62,51,NA
91,51,23,NA
91,23,24,NA
91,24,57,NA
91,57,21,NA
91,21,55,NA
91,55,85,NA
91,85,75,NA
91,75,88,NA
91,88,22,NA
91,22,30,NA
91,NA,NA,LoopEnd
5,NA,NA,IN
5,41,33,NA
5,33,67,NA
5,67,97,NA
5,97,6,NA
5,6,74,NA
5,74,25,NA
5,25,60,NA
5,60,9,NA
5,9,45,NA
5,45,41,NA
5,NA,NA,LoopEnd
67,NA,NA,IN
67,62,51,NA
67,51,23,NA
67,23,24,NA
67,24,57,NA
67,57,21,NA
67,21,55,NA
67,55,85,NA
67,85,75,NA
67,75,88,NA
67,88,22,NA
67,22,30,NA
67,30,96,NA
67,96,86,NA
67,86,34,NA
67,34,36,NA
67,36,84,NA
67,84,52,NA
67,52,73,NA
67,73,3,NA
67,3,89,NA
67,89,47,NA
67,47,28,NA
67,28,93,NA
67,93,87,NA
67,87,70,NA
67,70,81,NA
67,81,53,NA
67,53,92,NA
67,92,59,NA
67,59,5,NA
67,5,68,NA
67,68,42,NA
67,42,69,NA
67,69,44,NA
67,44,37,NA
67,37,39,NA
67,39,16,NA
67,16,8,NA
67,8,0,NA
67,0,14,NA
67,14,76,NA
67,76,71,NA
67,71,95,NA
67,95,62,NA
67,NA,NA,LoopEnd
26,NA,NA,IN
26,79,35,NA
26,35,77,NA
26,77,80,NA
26,80,12,NA
26,12,91,NA
26,91,13,NA
26,13,19,NA
26,19,46,NA
26,46,32,NA
26,32,20,NA
26,20,43,NA
26,43,54,NA
26,54,58,NA
26,58,11,NA
26,11,7,NA
26,7,1,NA
26,1,27,NA
26,27,94,NA
26,94,38,NA
26,38,78,NA
26,78,4,NA
26,4,98,NA
26,98,65,NA
26,65,72,NA
26,72,2,NA
26,2,82,NA
26,82,99,NA
26,99,15,NA
26,15,49,NA
26,49,29,NA
26,29,79,NA
26,NA,NA,LoopEnd
87,NA,NA,IN
87,54,58,NA
87,58,11,NA
87,11,7,NA
87,7,1,NA
87,1,27,NA
87,27,94,NA
87,94,38,NA
87,38,78,NA
87,78,4,NA
87,4,98,NA
87,98,65,NA
87,65,72,NA
87,72,2,NA
87,2,82,NA
87,82,99,NA
87,99,15,NA
87,15,49,NA
87,49,29,NA
87,29,79,NA
87,79,35,NA
87,35,77,NA
87,77,80,NA
87,80,12,NA
87,12,91,NA
87,91,13,NA
87,13,19,NA
87,19,46,NA
87,46,32,NA
87,32,20,NA
87,20,43,NA
87,43,54,NA
87,NA,NA,LoopEnd
23,NA,NA,IN
23,11,7,NA
23,7,1,NA
23,1,27,NA
23,27,94,NA
23,94,38,NA
23,38,78,NA
23,78,4,NA
23,4,98,NA
23,98,65,NA
23,65,72,NA
23,72,2,NA
23,2,82,NA
23,82,99,NA
23,99,15,NA
23,15,49,NA
23,49,29,NA
23,29,79,NA
23,79,35,NA
23,35,77,NA
23,77,80,NA
23,80,12,NA
23,12,91,NA
23,91,13,NA
23,13,19,NA
23,19,46,NA
23,46,32,NA
23,32,20,NA
23,20,43,NA
23,43,54,NA
23,54,58,NA
23,58,11,NA
23,NA,NA,LoopEnd
66,NA,NA,IN
66,80,12,NA
66,12,91,NA
66,91,13,NA
66,13,19,NA
66,19,46,NA
66,46,32,NA
66,32,20,NA
66,20,43,NA
66,43,54,NA
66,54,58,NA
66,58,11,NA
66,11,7,NA
66,7,1,NA
66,1,27,NA
66,27,94,NA
66,94,38,NA
66,38,78,NA
66,78,4,NA
66,4,98,NA
66,98,65,NA
66,65,72,NA
66,72,2,NA
66,2,82,NA
66,82,99,NA
66,99,15,NA
66,15,49,NA
66,49,29,NA
66,29,79,NA
66,79,35,NA
66,35,77,NA
66,77,80,NA
66,NA,NA,LoopEnd
55,NA,NA,IN
55,22,30,NA
55,30,96,NA
55,96,86,NA
55,86,34,NA
55,34,36,NA
55,36,84,NA
55,84,52,NA
55,52,73,NA
55,73,3,NA
55,3,89,NA
55,89,47,NA
55,47,28,NA
55,28,93,NA
55,93,87,NA
55,87,70,NA
55,70,81,NA
55,81,53,NA
55,53,92,NA
55,92,59,NA
55,59,5,NA
55,5,68,NA
55,68,42,NA
55,42,69,NA
55,69,44,NA
55,44,37,NA
55,37,39,NA
55,39,16,NA
55,16,8,NA
55,8,0,NA
55,0,14,NA
55,14,76,NA
55,76,71,NA
55,71,95,NA
55,95,62,NA
55,62,51,NA
55,51,23,NA
55,23,24,NA
55,24,57,NA
55,57,21,NA
55,21,55,OUT
68,NA,NA,IN
68,51,23,NA
68,23,24,NA
68,24,57,NA
68,57,21,NA
68,21,55,NA
68,55,85,NA
68,85,75,NA
68,75,88,NA
68,88,22,NA
68,22,30,NA
68,30,96,NA
68,96,86,NA
68,86,34,NA
68,34,36,NA
68,36,84,NA
68,84,52,NA
68,52,73,NA
68,73,3,NA
68,3,89,NA
68,89,47,NA
68,47,28,NA
68,28,93,NA
68,93,87,NA
68,87,70,NA
68,70,81,NA
68,81,53,NA
68,53,92,NA
68,92,59,NA
68,59,5,NA
68,5,68,OUT
32,NA,NA,IN
32,45,41,NA
32,41,33,NA
32,33,67,NA
32,67,97,NA
32,97,6,NA
32,6,74,NA
32,74,25,NA
32,25,60,NA
32,60,9,NA
32,9,45,NA
32,NA,NA,LoopEnd
99,NA,NA,IN
99,34,36,NA
99,36,84,NA
99,84,52,NA
99,52,73,NA
99,73,3,NA
99,3,89,NA
99,89,47,NA
99,47,28,NA
99,28,93,NA
99,93,87,NA
99,87,70,NA
99,70,81,NA
99,81,53,NA
99,53,92,NA
99,92,59,NA
99,59,5,NA
99,5,68,NA
99,68,42,NA
99,42,69,NA
99,69,44,NA
99,44,37,NA
99,37,39,NA
99,39,16,NA
99,16,8,NA
99,8,0,NA
99,0,14,NA
99,14,76,NA
99,76,71,NA
99,71,95,NA
99,95,62,NA
99,62,51,NA
99,51,23,NA
99,23,24,NA
99,24,57,NA
99,57,21,NA
99,21,55,NA
99,55,85,NA
99,85,75,NA
99,75,88,NA
99,88,22,NA
99,22,30,NA
99,30,96,NA
99,96,86,NA
99,86,34,NA
99,NA,NA,LoopEnd
25,NA,NA,IN
25,6,74,NA
25,74,25,OUT
65,NA,NA,IN
65,42,69,NA
65,69,44,NA
65,44,37,NA
65,37,39,NA
65,39,16,NA
65,16,8,NA
65,8,0,NA
65,0,14,NA
65,14,76,NA
65,76,71,NA
65,71,95,NA
65,95,62,NA
65,62,51,NA
65,51,23,NA
65,23,24,NA
65,24,57,NA
65,57,21,NA
65,21,55,NA
65,55,85,NA
65,85,75,NA
65,75,88,NA
65,88,22,NA
65,22,30,NA
65,30,96,NA
65,96,86,NA
65,86,34,NA
65,34,36,NA
65,36,84,NA
65,84,52,NA
65,52,73,NA
65,73,3,NA
65,3,89,NA
65,89,47,NA
65,47,28,NA
65,28,93,NA
65,93,87,NA
65,87,70,NA
65,70,81,NA
65,81,53,NA
65,53,92,NA
65,92,59,NA
65,59,5,NA
65,5,68,NA
65,68,42,NA
65,NA,NA,LoopEnd
20,NA,NA,IN
20,14,76,NA
20,76,71,NA
20,71,95,NA
20,95,62,NA
20,62,51,NA
20,51,23,NA
20,23,24,NA
20,24,57,NA
20,57,21,NA
20,21,55,NA
20,55,85,NA
20,85,75,NA
20,75,88,NA
20,88,22,NA
20,22,30,NA
20,30,96,NA
20,96,86,NA
20,86,34,NA
20,34,36,NA
20,36,84,NA
20,84,52,NA
20,52,73,NA
20,73,3,NA
20,3,89,NA
20,89,47,NA
20,47,28,NA
20,28,93,NA
20,93,87,NA
20,87,70,NA
20,70,81,NA
20,81,53,NA
20,53,92,NA
20,92,59,NA
20,59,5,NA
20,5,68,NA
20,68,42,NA
20,42,69,NA
20,69,44,NA
20,44,37,NA
20,37,39,NA
20,39,16,NA
20,16,8,NA
20,8,0,NA
20,0,14,NA
20,NA,NA,LoopEnd
6,NA,NA,IN
6,17,56,NA
6,56,48,NA
6,48,90,NA
6,90,26,NA
6,26,17,NA
6,NA,NA,LoopEnd
30,NA,NA,IN
30,36,84,NA
30,84,52,NA
30,52,73,NA
30,73,3,NA
30,3,89,NA
30,89,47,NA
30,47,28,NA
30,28,93,NA
30,93,87,NA
30,87,70,NA
30,70,81,NA
30,81,53,NA
30,53,92,NA
30,92,59,NA
30,59,5,NA
30,5,68,NA
30,68,42,NA
30,42,69,NA
30,69,44,NA
30,44,37,NA
30,37,39,NA
30,39,16,NA
30,16,8,NA
30,8,0,NA
30,0,14,NA
30,14,76,NA
30,76,71,NA
30,71,95,NA
30,95,62,NA
30,62,51,NA
30,51,23,NA
30,23,24,NA
30,24,57,NA
30,57,21,NA
30,21,55,NA
30,55,85,NA
30,85,75,NA
30,75,88,NA
30,88,22,NA
30,22,30,OUT
82,NA,NA,IN
82,86,34,NA
82,34,36,NA
82,36,84,NA
82,84,52,NA
82,52,73,NA
82,73,3,NA
