prisoner number,BOX number,BOX slip number,Result
64,44,37,NA
64,37,39,NA
64,39,16,NA
64,NA,NA,LoopEnd
94,NA,NA,IN
94,42,69,NA
94,69,44,NA
94,44,37,NA
94,37,39,NA
94,39,16,NA
94,16,8,NA
94,8,0,NA
94,0,14,NA
94,14,76,NA
94,76,71,NA
94,71,95,NA
94,95,62,NA
94,62,51,NA
94,51,23,NA
94,23,24,NA
94,24,57,NA
94,57,21,NA
94,21,55,NA
94,55,85,NA
94,85,75,NA
94,75,88,NA
94,88,22,NA
94,22,30,NA
94,30,96,NA
94,96,86,NA
94,86,34,NA
94,34,36,NA
94,36,84,NA
94,84,52,NA
94,52,73,NA
94,73,3,NA
94,3,89,NA
